year,total_population,pop_65_74,pop_75_84,pop_85_plus,pop_65_plus,percent_65_plus,source
2001,19274701,1311961,843667,263442,2419070,12.55,"ABS Regional population by age and sex, 2024 - Population estimates by age and sex, by LGA, 2001 to 2024 (Table 3 persons)"
2002,19495210,1324605,868512,272552,2465669,12.65,"ABS Regional population by age and sex, 2024 - Population estimates by age and sex, by LGA, 2001 to 2024 (Table 3 persons)"
2003,19720737,1336825,895039,279463,2511327,12.73,"ABS Regional population by age and sex, 2024 - Population estimates by age and sex, by LGA, 2001 to 2024 (Table 3 persons)"
2004,19932722,1353404,919175,286278,2558857,12.84,"ABS Regional population by age and sex, 2024 - Population estimates by age and sex, by LGA, 2001 to 2024 (Table 3 persons)"
2005,20176844,1373971,935717,302191,2611879,12.94,"ABS Regional population by age and sex, 2024 - Population estimates by age and sex, by LGA, 2001 to 2024 (Table 3 persons)"
2006,20450966,1397253,948119,318692,2664064,13.03,"ABS Regional population by age and sex, 2024 - Population estimates by age and sex, by LGA, 2001 to 2024 (Table 3 persons)"
2007,20827622,1440885,958589,337136,2736610,13.14,"ABS Regional population by age and sex, 2024 - Population estimates by age and sex, by LGA, 2001 to 2024 (Table 3 persons)"
2008,21249199,1485037,967574,352556,2805167,13.2,"ABS Regional population by age and sex, 2024 - Population estimates by age and sex, by LGA, 2001 to 2024 (Table 3 persons)"
2009,21691653,1546161,976176,368229,2890566,13.33,"ABS Regional population by age and sex, 2024 - Population estimates by age and sex, by LGA, 2001 to 2024 (Table 3 persons)"
2010,22031750,1613289,986792,386594,2986675,13.56,"ABS Regional population by age and sex, 2024 - Population estimates by age and sex, by LGA, 2001 to 2024 (Table 3 persons)"
2011,22340024,1681931,1002373,403607,3087911,13.82,"ABS Regional population by age and sex, 2024 - Population estimates by age and sex, by LGA, 2001 to 2024 (Table 3 persons)"
2012,22733465,1776513,1016815,420525,3213853,14.14,"ABS Regional population by age and sex, 2024 - Population estimates by age and sex, by LGA, 2001 to 2024 (Table 3 persons)"
2013,23128129,1859053,1033567,437758,3330378,14.4,"ABS Regional population by age and sex, 2024 - Population estimates by age and sex, by LGA, 2001 to 2024 (Table 3 persons)"
2014,23475686,1932406,1055608,454134,3442148,14.66,"ABS Regional population by age and sex, 2024 - Population estimates by age and sex, by LGA, 2001 to 2024 (Table 3 persons)"
2015,23815995,2006690,1078669,468945,3554304,14.92,"ABS Regional population by age and sex, 2024 - Population estimates by age and sex, by LGA, 2001 to 2024 (Table 3 persons)"
2016,24190907,2083269,1106303,482679,3672251,15.18,"ABS Regional population by age and sex, 2024 - Population estimates by age and sex, by LGA, 2001 to 2024 (Table 3 persons)"
2017,24592588,2152872,1144527,490862,3788261,15.4,"ABS Regional population by age and sex, 2024 - Population estimates by age and sex, by LGA, 2001 to 2024 (Table 3 persons)"
2018,24963258,2227522,1181864,498757,3908143,15.66,"ABS Regional population by age and sex, 2024 - Population estimates by age and sex, by LGA, 2001 to 2024 (Table 3 persons)"
2019,25334826,2292045,1233383,507729,4033157,15.92,"ABS Regional population by age and sex, 2024 - Population estimates by age and sex, by LGA, 2001 to 2024 (Table 3 persons)"
2020,25649248,2373835,1294751,519215,4187801,16.33,"ABS Regional population by age and sex, 2024 - Population estimates by age and sex, by LGA, 2001 to 2024 (Table 3 persons)"
2021,25685412,2427302,1352689,534228,4314219,16.8,"ABS Regional population by age and sex, 2024 - Population estimates by age and sex, by LGA, 2001 to 2024 (Table 3 persons)"
2022,26014399,2447846,1438318,547178,4433342,17.04,"ABS Regional population by age and sex, 2024 - Population estimates by age and sex, by LGA, 2001 to 2024 (Table 3 persons)"
2023,26652777,2485923,1513086,561048,4560057,17.11,"ABS Regional population by age and sex, 2024 - Population estimates by age and sex, by LGA, 2001 to 2024 (Table 3 persons)"
2024,27194369,2533696,1585336,581499,4700531,17.28,"ABS Regional population by age and sex, 2024 - Population estimates by age and sex, by LGA, 2001 to 2024 (Table 3 persons)"
