lga_code,lga_name,longitude,latitude,pop_65_plus,percent_65_plus
10050,Albury,146.970535,-36.026504,11682,20.0
10180,Armidale,151.899114,-30.367379,5644,19.0
10250,Ballina,153.486129,-28.852866,12887,26.9
10300,Balranald,143.611641,-33.950345,510,23.0
10470,Bathurst,149.525633,-33.430124,8483,18.9
10500,Bayside (NSW),151.16714,-33.949489,26395,14.2
10550,Bega Valley,149.717602,-36.825883,11203,30.6
10600,Bellingen,152.728584,-30.403796,3862,29.1
10650,Berrigan,145.711189,-35.734298,2938,33.9
10750,Blacktown,150.86408,-33.740916,48458,11.0
10800,Bland,146.96128,-33.894329,1265,23.2
10850,Blayney,149.142068,-33.594325,1615,20.8
10900,Blue Mountains,150.411147,-33.697525,18507,23.5
10950,Bogan,146.866879,-31.538102,489,20.3
11150,Bourke,145.356813,-29.910566,367,15.6
11200,Brewarrina,146.960897,-29.791575,250,17.8
11250,Broken Hill,141.479278,-31.944027,4157,23.7
11300,Burwood,151.103167,-33.883673,6233,14.4
11350,Byron,153.482521,-28.604143,7250,19.2
11400,Cabonne,148.754118,-33.152984,3106,22.4
11450,Camden,150.724173,-34.008815,13569,9.6
11500,Campbelltown (NSW),150.845859,-34.083398,25534,13.6
11520,Canada Bay,151.114851,-33.853485,15655,17.0
11570,Canterbury-Bankstown,151.037364,-33.923492,58427,15.2
11600,Carrathool,145.496434,-33.608976,439,15.9
11650,Central Coast (NSW),151.285574,-33.30787,79680,22.5
11700,Central Darling,143.5897,-31.850679,392,22.2
11720,Cessnock,151.224895,-32.92505,11733,16.9
11730,Clarence Valley,152.751155,-29.681721,15739,28.1
11750,Cobar,145.482858,-31.867969,739,18.4
11800,Coffs Harbour,153.039806,-30.189015,19193,23.6
12000,Coolamon,147.104839,-34.632515,1076,23.3
12150,Coonamble,148.291612,-30.87054,738,19.1
12160,Cootamundra-Gundagai,148.094131,-34.852964,3422,30.0
12350,Cowra,148.717958,-33.796375,3344,26.4
12380,Cumberland,150.986504,-33.842141,31023,12.3
12390,Dubbo,148.854416,-32.424702,9970,17.5
12700,Dungog,151.60828,-32.349538,2284,23.1
12730,Edward River,144.941473,-35.17253,2162,25.7
12750,Eurobodalla,149.946978,-35.945069,13896,33.8
12850,Fairfield,150.89544,-33.865632,37865,17.8
12870,Federation,146.271363,-35.497011,4011,30.7
12900,Forbes,147.867223,-33.421617,2119,22.8
12930,Georges River,151.08646,-33.970993,27989,17.3
12950,Gilgandra,148.690741,-31.619018,1073,24.9
13010,Glen Innes Severn,151.903053,-29.64497,2706,30.1
13310,Goulburn Mulwaree,149.813493,-34.876025,6973,21.1
13340,Greater Hume,147.171818,-35.750256,2636,22.8
13450,Griffith,146.003585,-34.300404,4673,17.1
13550,Gunnedah,150.188889,-31.046544,2550,19.0
13660,Gwydir,150.516813,-29.593451,1435,29.3
13800,Hawkesbury,150.773261,-33.334753,11788,17.2
13850,Hay,144.683723,-34.315843,716,25.0
13910,Hilltops,148.500965,-34.351993,4661,24.2
14000,Hornsby,151.089176,-33.584031,28491,18.4
14100,Hunters Hill,151.145195,-33.833247,3202,22.8
14170,Inner West,151.154832,-33.891581,25816,13.5
