lga_code,lga_name,state,total_population,pop_65_74,pop_75_84,pop_85_plus,pop_65_plus,percent_65_plus,median_age,year
10050,Albury,New South Wales,58317,6237,4040,1405,11682,20.0,39.3,2024
10180,Armidale,New South Wales,29646,2927,1984,733,5644,19.0,37.0,2024
10250,Ballina,New South Wales,47935,6622,4443,1822,12887,26.9,47.5,2024
10300,Balranald,New South Wales,2219,307,137,66,510,23.0,43.4,2024
10470,Bathurst,New South Wales,44939,4557,2841,1085,8483,18.9,38.5,2024
10500,Bayside (NSW),New South Wales,185880,13381,9100,3914,26395,14.2,35.3,2024
10550,Bega Valley,New South Wales,36593,6341,3670,1192,11203,30.6,52.5,2024
10600,Bellingen,New South Wales,13278,2241,1181,440,3862,29.1,51.6,2024
10650,Berrigan,New South Wales,8666,1522,1069,347,2938,33.9,53.3,2024
10750,Blacktown,New South Wales,438843,28577,15067,4814,48458,11.0,34.9,2024
10800,Bland,New South Wales,5454,669,438,158,1265,23.2,43.4,2024
10850,Blayney,New South Wales,7767,942,492,181,1615,20.8,41.6,2024
10900,Blue Mountains,New South Wales,78891,10315,6332,1860,18507,23.5,45.6,2024
10950,Bogan,New South Wales,2407,217,186,86,489,20.3,40.5,2024
11150,Bourke,New South Wales,2349,192,137,38,367,15.6,36.2,2024
11200,Brewarrina,New South Wales,1408,165,61,24,250,17.8,38.2,2024
11250,Broken Hill,New South Wales,17541,2232,1368,557,4157,23.7,42.9,2024
11300,Burwood,New South Wales,43346,3094,1946,1193,6233,14.4,32.9,2024
11350,Byron,New South Wales,37826,4644,2029,577,7250,19.2,42.4,2024
11400,Cabonne,New South Wales,13897,1715,1081,310,3106,22.4,44.6,2024
11450,Camden,New South Wales,141133,8029,4270,1270,13569,9.6,33.3,2024
11500,Campbelltown (NSW),New South Wales,188303,15357,7965,2212,25534,13.6,35.6,2024
11520,Canada Bay,New South Wales,92255,8004,5356,2295,15655,17.0,38.7,2024
11570,Canterbury-Bankstown,New South Wales,385242,30915,18750,8762,58427,15.2,36.2,2024
11600,Carrathool,New South Wales,2767,257,123,59,439,15.9,37.4,2024
11650,Central Coast (NSW),New South Wales,354803,40438,28750,10492,79680,22.5,42.8,2024
11700,Central Darling,New South Wales,1767,215,142,35,392,22.2,44.1,2024
11720,Cessnock,New South Wales,69352,6908,3682,1143,11733,16.9,37.0,2024
11730,Clarence Valley,New South Wales,56037,8487,5371,1881,15739,28.1,48.8,2024
11750,Cobar,New South Wales,4015,400,236,103,739,18.4,37.6,2024
11800,Coffs Harbour,New South Wales,81248,10293,6457,2443,19193,23.6,43.6,2024
12000,Coolamon,New South Wales,4613,576,353,147,1076,23.3,42.7,2024
12150,Coonamble,New South Wales,3871,392,269,77,738,19.1,38.5,2024
12160,Cootamundra-Gundagai,New South Wales,11424,1751,1231,440,3422,30.0,49.6,2024
12350,Cowra,New South Wales,12680,1721,1235,388,3344,26.4,46.8,2024
12380,Cumberland,New South Wales,252399,17298,9959,3766,31023,12.3,33.7,2024
12390,Dubbo,New South Wales,56997,5310,3365,1295,9970,17.5,36.5,2024
12700,Dungog,New South Wales,9905,1334,748,202,2284,23.1,45.7,2024
12730,Edward River,New South Wales,8411,1158,701,303,2162,25.7,45.7,2024
12750,Eurobodalla,New South Wales,41142,7713,4749,1434,13896,33.8,54.7,2024
12850,Fairfield,New South Wales,212210,21909,11399,4557,37865,17.8,39.0,2024
12870,Federation,New South Wales,13075,2090,1443,478,4011,30.7,51.5,2024
12900,Forbes,New South Wales,9295,1045,762,312,2119,22.8,41.7,2024
12930,Georges River,New South Wales,161593,14817,8872,4300,27989,17.3,37.9,2024
12950,Gilgandra,New South Wales,4305,595,358,120,1073,24.9,46.6,2024
13010,Glen Innes Severn,New South Wales,8978,1419,970,317,2706,30.1,51.2,2024
13310,Goulburn Mulwaree,New South Wales,33112,3750,2383,840,6973,21.1,41.5,2024
13340,Greater Hume,New South Wales,11582,1500,875,261,2636,22.8,44.1,2024
13450,Griffith,New South Wales,27340,2506,1442,725,4673,17.1,37.8,2024
13550,Gunnedah,New South Wales,13392,1298,830,422,2550,19.0,37.3,2024
13660,Gwydir,New South Wales,4893,773,529,133,1435,29.3,51.1,2024
13800,Hawkesbury,New South Wales,68704,6306,4182,1300,11788,17.2,38.6,2024
13850,Hay,New South Wales,2861,354,244,118,716,25.0,48.3,2024
13910,Hilltops,New South Wales,19300,2486,1627,548,4661,24.2,44.5,2024
14000,Hornsby,New South Wales,154834,14367,9684,4440,28491,18.4,41.7,2024
14100,Hunters Hill,New South Wales,14062,1372,1114,716,3202,22.8,44.1,2024
14170,Inner West,New South Wales,190939,13708,8507,3601,25816,13.5,37.1,2024
14220,Inverell,New South Wales,18080,2140,1506,557,4203,23.2,42.4,2024
14300,Junee,New South Wales,6458,765,458,145,1368,21.2,42.6,2024
14350,Kempsey,New South Wales,31718,4834,2852,814,8500,26.8,47.1,2024
14400,Kiama,New South Wales,23173,3637,2299,795,6731,29.0,48.9,2024
14500,Ku-ring-gai,New South Wales,128362,11474,8964,4378,24816,19.3,42.6,2024
14550,Kyogle,New South Wales,9582,1711,826,224,2761,28.8,52.2,2024
